sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,most_common_emotion,avg_confidence,category,category2
10,River Mountain High,9,1,2,5.0-10.0%,5.0,10.0,7.5,happy,0.5024888038635253,commercial,
10,River Mountain High,9,1,2,10.0-15.0%,10.0,15.0,12.5,sad,0.8333728739193508,commercial,
10,River Mountain High,9,1,2,15.0-20.0%,15.0,20.0,17.5,sad,0.869298779964447,commercial,
10,River Mountain High,9,1,2,20.0-25.0%,20.0,25.0,22.5,sad,0.7135704696178437,commercial,
10,River Mountain High,9,1,2,25.0-30.0%,25.0,30.0,27.5,sad,0.6208849185042911,commercial,
10,River Mountain High,9,1,2,30.0-35.0%,30.0,35.0,32.5,sad,0.5919848755002022,commercial,
10,River Mountain High,9,1,2,35.0-40.0%,35.0,40.0,37.5,sad,0.7101334844316755,commercial,
10,River Mountain High,9,1,2,40.0-45.0%,40.0,45.0,42.5,neutral,0.6518424972891808,commercial,
10,River Mountain High,9,1,2,45.0-50.0%,45.0,50.0,47.5,happy,0.5113802403211594,commercial,
10,River Mountain High,9,1,2,50.0-55.0%,50.0,55.0,52.5,sad,0.9438317716121674,commercial,
10,River Mountain High,9,1,2,55.0-60.0%,55.0,60.0,57.5,sad,0.9620261192321776,commercial,
10,River Mountain High,9,1,2,65.0-70.0%,65.0,70.0,67.5,neutral,0.8274185061454773,commercial,
10,River Mountain High,9,1,2,70.0-75.0%,70.0,75.0,72.5,happy,0.8254963397979737,commercial,
10,River Mountain High,9,1,2,75.0-80.0%,75.0,80.0,77.5,happy,0.6282486319541931,commercial,
10,River Mountain High,9,1,2,80.0-85.0%,80.0,85.0,82.5,happy,0.7387121220429739,commercial,
10,River Mountain High,9,1,2,85.0-90.0%,85.0,90.0,87.5,happy,0.8563282830374581,commercial,
10,River Mountain High,9,1,2,90.0-95.0%,90.0,95.0,92.5,happy,0.6623503744602204,commercial,
10,River Mountain High,9,1,2,95.0-100.0%,95.0,100.0,97.5,anger,0.5866155922412872,commercial,
11,The Man,10,1,2,0.0-5.0%,0.0,5.0,2.5,happy,0.777451591566205,revenge,
11,The Man,10,1,2,5.0-10.0%,5.0,10.0,7.5,happy,0.8400663715951583,revenge,
11,The Man,10,1,2,10.0-15.0%,10.0,15.0,12.5,happy,0.8223200937112173,revenge,
11,The Man,10,1,2,15.0-20.0%,15.0,20.0,17.5,happy,0.8128065879528339,revenge,
11,The Man,10,1,2,20.0-25.0%,20.0,25.0,22.5,neutral,0.8345873802900314,revenge,
11,The Man,10,1,2,25.0-30.0%,25.0,30.0,27.5,neutral,0.8310031890869141,revenge,
11,The Man,10,1,2,30.0-35.0%,30.0,35.0,32.5,sad,0.896699869632721,revenge,
11,The Man,10,1,2,40.0-45.0%,40.0,45.0,42.5,sad,0.6158769614994526,revenge,
11,The Man,10,1,2,45.0-50.0%,45.0,50.0,47.5,happy,0.830636117193434,revenge,
11,The Man,10,1,2,50.0-55.0%,50.0,55.0,52.5,happy,0.6964250892400742,revenge,
11,The Man,10,1,2,55.0-60.0%,55.0,60.0,57.5,happy,0.8634582161903381,revenge,
11,The Man,10,1,2,60.0-65.0%,60.0,65.0,62.5,neutral,0.7662129657609122,revenge,
11,The Man,10,1,2,65.0-70.0%,65.0,70.0,67.5,happy,0.8523598611354828,revenge,
11,The Man,10,1,2,70.0-75.0%,70.0,75.0,72.5,neutral,0.8590561270713806,revenge,
11,The Man,10,1,2,75.0-80.0%,75.0,80.0,77.5,happy,0.7388123907148838,revenge,
11,The Man,10,1,2,80.0-85.0%,80.0,85.0,82.5,sad,0.7150226765208774,revenge,
11,The Man,10,1,2,85.0-90.0%,85.0,90.0,87.5,neutral,0.6970238933960596,revenge,
11,The Man,10,1,2,90.0-95.0%,90.0,95.0,92.5,fear,0.7951818764209747,revenge,
11,The Man,10,1,2,95.0-100.0%,95.0,100.0,97.5,neutral,0.7662995146079497,revenge,
12,Which Hand,11,1,3,0.0-5.0%,0.0,5.0,2.5,happy,0.7634276628494263,magic show,
12,Which Hand,11,1,3,5.0-10.0%,5.0,10.0,7.5,happy,0.7289101600646972,magic show,
12,Which Hand,11,1,3,10.0-15.0%,10.0,15.0,12.5,happy,0.7877042943781073,magic show,
12,Which Hand,11,1,3,15.0-20.0%,15.0,20.0,17.5,happy,0.765574786067009,magic show,
12,Which Hand,11,1,3,20.0-25.0%,20.0,25.0,22.5,happy,0.81113501682001,magic show,
12,Which Hand,11,1,3,30.0-35.0%,30.0,35.0,32.5,happy,0.5377942323684692,magic show,
12,Which Hand,11,1,3,35.0-40.0%,35.0,40.0,37.5,happy,0.517328716814518,magic show,
12,Which Hand,11,1,3,40.0-45.0%,40.0,45.0,42.5,sad,0.4802575886249542,magic show,
12,Which Hand,11,1,3,45.0-50.0%,45.0,50.0,47.5,surprise,0.3371559679508209,magic show,
12,Which Hand,11,1,3,50.0-55.0%,50.0,55.0,52.5,anger,0.7091067135334015,magic show,
12,Which Hand,11,1,3,55.0-60.0%,55.0,60.0,57.5,disgust,0.6424457609653473,magic show,
12,Which Hand,11,1,3,60.0-65.0%,60.0,65.0,62.5,fear,0.6171949250357491,magic show,
12,Which Hand,11,1,3,65.0-70.0%,65.0,70.0,67.5,surprise,0.5718077778816223,magic show,
12,Which Hand,11,1,3,70.0-75.0%,70.0,75.0,72.5,surprise,0.5516792953014373,magic show,
12,Which Hand,11,1,3,75.0-80.0%,75.0,80.0,77.5,anger,0.6189116209745407,magic show,
12,Which Hand,11,1,3,80.0-85.0%,80.0,85.0,82.5,anger,0.6687241457402706,magic show,
12,Which Hand,11,1,3,85.0-90.0%,85.0,90.0,87.5,neutral,0.6531915598445468,magic show,
12,Which Hand,11,1,3,90.0-95.0%,90.0,95.0,92.5,happy,0.6991145225132213,magic show,
