sketch_id,name,sketch_order,season,episode,time_bin,time_bin_start,time_bin_end,time_bin_center,emotion,count,total_detections,percentage,category,category2
3,Baby of the Year,2,1,1,35.0-40.0%,35.0,40.0,37.5,happy,3,19,15.789473684210526,game show,
3,Baby of the Year,2,1,1,35.0-40.0%,35.0,40.0,37.5,disgust,2,19,10.526315789473683,game show,
3,Baby of the Year,2,1,1,35.0-40.0%,35.0,40.0,37.5,neutral,2,19,10.526315789473683,game show,
3,Baby of the Year,2,1,1,35.0-40.0%,35.0,40.0,37.5,anger,1,19,5.263157894736842,game show,
3,Baby of the Year,2,1,1,40.0-45.0%,40.0,45.0,42.5,happy,5,12,41.66666666666667,game show,
3,Baby of the Year,2,1,1,40.0-45.0%,40.0,45.0,42.5,sad,4,12,33.33333333333333,game show,
3,Baby of the Year,2,1,1,40.0-45.0%,40.0,45.0,42.5,disgust,2,12,16.666666666666664,game show,
3,Baby of the Year,2,1,1,40.0-45.0%,40.0,45.0,42.5,neutral,1,12,8.333333333333332,game show,
3,Baby of the Year,2,1,1,45.0-50.0%,45.0,50.0,47.5,happy,3,8,37.5,game show,
3,Baby of the Year,2,1,1,45.0-50.0%,45.0,50.0,47.5,sad,3,8,37.5,game show,
3,Baby of the Year,2,1,1,45.0-50.0%,45.0,50.0,47.5,disgust,1,8,12.5,game show,
3,Baby of the Year,2,1,1,45.0-50.0%,45.0,50.0,47.5,surprise,1,8,12.5,game show,
3,Baby of the Year,2,1,1,50.0-55.0%,50.0,55.0,52.5,sad,6,13,46.15384615384615,game show,
3,Baby of the Year,2,1,1,50.0-55.0%,50.0,55.0,52.5,neutral,5,13,38.46153846153847,game show,
3,Baby of the Year,2,1,1,50.0-55.0%,50.0,55.0,52.5,disgust,1,13,7.6923076923076925,game show,
3,Baby of the Year,2,1,1,50.0-55.0%,50.0,55.0,52.5,fear,1,13,7.6923076923076925,game show,
3,Baby of the Year,2,1,1,55.0-60.0%,55.0,60.0,57.5,sad,8,20,40.0,game show,
3,Baby of the Year,2,1,1,55.0-60.0%,55.0,60.0,57.5,disgust,5,20,25.0,game show,
3,Baby of the Year,2,1,1,55.0-60.0%,55.0,60.0,57.5,happy,3,20,15.0,game show,
3,Baby of the Year,2,1,1,55.0-60.0%,55.0,60.0,57.5,neutral,3,20,15.0,game show,
3,Baby of the Year,2,1,1,55.0-60.0%,55.0,60.0,57.5,anger,1,20,5.0,game show,
3,Baby of the Year,2,1,1,60.0-65.0%,60.0,65.0,62.5,sad,4,11,36.36363636363637,game show,
3,Baby of the Year,2,1,1,60.0-65.0%,60.0,65.0,62.5,neutral,3,11,27.27272727272727,game show,
3,Baby of the Year,2,1,1,60.0-65.0%,60.0,65.0,62.5,disgust,2,11,18.181818181818183,game show,
3,Baby of the Year,2,1,1,60.0-65.0%,60.0,65.0,62.5,happy,1,11,9.090909090909092,game show,
3,Baby of the Year,2,1,1,60.0-65.0%,60.0,65.0,62.5,surprise,1,11,9.090909090909092,game show,
3,Baby of the Year,2,1,1,65.0-70.0%,65.0,70.0,67.5,sad,11,17,64.70588235294117,game show,
3,Baby of the Year,2,1,1,65.0-70.0%,65.0,70.0,67.5,disgust,3,17,17.647058823529413,game show,
3,Baby of the Year,2,1,1,65.0-70.0%,65.0,70.0,67.5,happy,2,17,11.76470588235294,game show,
3,Baby of the Year,2,1,1,65.0-70.0%,65.0,70.0,67.5,fear,1,17,5.88235294117647,game show,
3,Baby of the Year,2,1,1,70.0-75.0%,70.0,75.0,72.5,sad,11,23,47.82608695652174,game show,
3,Baby of the Year,2,1,1,70.0-75.0%,70.0,75.0,72.5,neutral,8,23,34.78260869565217,game show,
3,Baby of the Year,2,1,1,70.0-75.0%,70.0,75.0,72.5,surprise,3,23,13.043478260869565,game show,
3,Baby of the Year,2,1,1,70.0-75.0%,70.0,75.0,72.5,disgust,1,23,4.3478260869565215,game show,
3,Baby of the Year,2,1,1,75.0-80.0%,75.0,80.0,77.5,sad,4,6,66.66666666666666,game show,
3,Baby of the Year,2,1,1,75.0-80.0%,75.0,80.0,77.5,happy,2,6,33.33333333333333,game show,
3,Baby of the Year,2,1,1,80.0-85.0%,80.0,85.0,82.5,sad,15,24,62.5,game show,
3,Baby of the Year,2,1,1,80.0-85.0%,80.0,85.0,82.5,neutral,6,24,25.0,game show,
3,Baby of the Year,2,1,1,80.0-85.0%,80.0,85.0,82.5,happy,2,24,8.333333333333332,game show,
3,Baby of the Year,2,1,1,80.0-85.0%,80.0,85.0,82.5,surprise,1,24,4.166666666666666,game show,
3,Baby of the Year,2,1,1,85.0-90.0%,85.0,90.0,87.5,sad,3,6,50.0,game show,
3,Baby of the Year,2,1,1,85.0-90.0%,85.0,90.0,87.5,anger,1,6,16.666666666666664,game show,
3,Baby of the Year,2,1,1,85.0-90.0%,85.0,90.0,87.5,disgust,1,6,16.666666666666664,game show,
3,Baby of the Year,2,1,1,85.0-90.0%,85.0,90.0,87.5,neutral,1,6,16.666666666666664,game show,
3,Baby of the Year,2,1,1,90.0-95.0%,90.0,95.0,92.5,sad,5,11,45.45454545454545,game show,
3,Baby of the Year,2,1,1,90.0-95.0%,90.0,95.0,92.5,disgust,2,11,18.181818181818183,game show,
3,Baby of the Year,2,1,1,90.0-95.0%,90.0,95.0,92.5,neutral,2,11,18.181818181818183,game show,
3,Baby of the Year,2,1,1,90.0-95.0%,90.0,95.0,92.5,happy,1,11,9.090909090909092,game show,
3,Baby of the Year,2,1,1,90.0-95.0%,90.0,95.0,92.5,surprise,1,11,9.090909090909092,game show,
3,Baby of the Year,2,1,1,95.0-100.0%,95.0,100.0,97.5,sad,8,15,53.333333333333336,game show,
3,Baby of the Year,2,1,1,95.0-100.0%,95.0,100.0,97.5,happy,2,15,13.333333333333334,game show,
3,Baby of the Year,2,1,1,95.0-100.0%,95.0,100.0,97.5,neutral,2,15,13.333333333333334,game show,
3,Baby of the Year,2,1,1,95.0-100.0%,95.0,100.0,97.5,surprise,2,15,13.333333333333334,game show,
3,Baby of the Year,2,1,1,95.0-100.0%,95.0,100.0,97.5,disgust,1,15,6.666666666666667,game show,
4,Instagram,3,1,1,0.0-5.0%,0.0,5.0,2.5,happy,10,11,90.9090909090909,social media,
4,Instagram,3,1,1,0.0-5.0%,0.0,5.0,2.5,neutral,1,11,9.090909090909092,social media,
4,Instagram,3,1,1,5.0-10.0%,5.0,10.0,7.5,neutral,4,7,57.14285714285714,social media,
4,Instagram,3,1,1,5.0-10.0%,5.0,10.0,7.5,happy,3,7,42.857142857142854,social media,
4,Instagram,3,1,1,10.0-15.0%,10.0,15.0,12.5,happy,3,4,75.0,social media,
4,Instagram,3,1,1,10.0-15.0%,10.0,15.0,12.5,sad,1,4,25.0,social media,
4,Instagram,3,1,1,15.0-20.0%,15.0,20.0,17.5,happy,4,5,80.0,social media,
4,Instagram,3,1,1,15.0-20.0%,15.0,20.0,17.5,disgust,1,5,20.0,social media,
4,Instagram,3,1,1,20.0-25.0%,20.0,25.0,22.5,sad,5,7,71.42857142857143,social media,
4,Instagram,3,1,1,20.0-25.0%,20.0,25.0,22.5,happy,2,7,28.57142857142857,social media,
4,Instagram,3,1,1,25.0-30.0%,25.0,30.0,27.5,happy,4,5,80.0,social media,
4,Instagram,3,1,1,25.0-30.0%,25.0,30.0,27.5,sad,1,5,20.0,social media,
4,Instagram,3,1,1,30.0-35.0%,30.0,35.0,32.5,neutral,4,7,57.14285714285714,social media,
4,Instagram,3,1,1,30.0-35.0%,30.0,35.0,32.5,disgust,2,7,28.57142857142857,social media,
4,Instagram,3,1,1,30.0-35.0%,30.0,35.0,32.5,happy,1,7,14.285714285714285,social media,
4,Instagram,3,1,1,35.0-40.0%,35.0,40.0,37.5,happy,4,6,66.66666666666666,social media,
4,Instagram,3,1,1,35.0-40.0%,35.0,40.0,37.5,sad,2,6,33.33333333333333,social media,
4,Instagram,3,1,1,40.0-45.0%,40.0,45.0,42.5,sad,4,7,57.14285714285714,social media,
4,Instagram,3,1,1,40.0-45.0%,40.0,45.0,42.5,happy,3,7,42.857142857142854,social media,
4,Instagram,3,1,1,45.0-50.0%,45.0,50.0,47.5,sad,4,5,80.0,social media,
4,Instagram,3,1,1,45.0-50.0%,45.0,50.0,47.5,happy,1,5,20.0,social media,
4,Instagram,3,1,1,50.0-55.0%,50.0,55.0,52.5,sad,4,7,57.14285714285714,social media,
4,Instagram,3,1,1,50.0-55.0%,50.0,55.0,52.5,anger,1,7,14.285714285714285,social media,
4,Instagram,3,1,1,50.0-55.0%,50.0,55.0,52.5,disgust,1,7,14.285714285714285,social media,
4,Instagram,3,1,1,50.0-55.0%,50.0,55.0,52.5,happy,1,7,14.285714285714285,social media,
4,Instagram,3,1,1,55.0-60.0%,55.0,60.0,57.5,disgust,3,7,42.857142857142854,social media,
4,Instagram,3,1,1,55.0-60.0%,55.0,60.0,57.5,happy,3,7,42.857142857142854,social media,
4,Instagram,3,1,1,55.0-60.0%,55.0,60.0,57.5,sad,1,7,14.285714285714285,social media,
4,Instagram,3,1,1,60.0-65.0%,60.0,65.0,62.5,happy,3,6,50.0,social media,
4,Instagram,3,1,1,60.0-65.0%,60.0,65.0,62.5,sad,2,6,33.33333333333333,social media,
4,Instagram,3,1,1,60.0-65.0%,60.0,65.0,62.5,disgust,1,6,16.666666666666664,social media,
4,Instagram,3,1,1,65.0-70.0%,65.0,70.0,67.5,sad,8,13,61.53846153846154,social media,
4,Instagram,3,1,1,65.0-70.0%,65.0,70.0,67.5,happy,4,13,30.76923076923077,social media,
4,Instagram,3,1,1,65.0-70.0%,65.0,70.0,67.5,neutral,1,13,7.6923076923076925,social media,
4,Instagram,3,1,1,70.0-75.0%,70.0,75.0,72.5,happy,2,4,50.0,social media,
4,Instagram,3,1,1,70.0-75.0%,70.0,75.0,72.5,disgust,1,4,25.0,social media,
4,Instagram,3,1,1,70.0-75.0%,70.0,75.0,72.5,sad,1,4,25.0,social media,
4,Instagram,3,1,1,75.0-80.0%,75.0,80.0,77.5,neutral,4,11,36.36363636363637,social media,
4,Instagram,3,1,1,75.0-80.0%,75.0,80.0,77.5,sad,4,11,36.36363636363637,social media,
4,Instagram,3,1,1,75.0-80.0%,75.0,80.0,77.5,happy,3,11,27.27272727272727,social media,
4,Instagram,3,1,1,80.0-85.0%,80.0,85.0,82.5,sad,3,7,42.857142857142854,social media,
